repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
0,False,25,25,1.0847213800022197,0.08472138000221974,7.178590803455803e-06,0.049600000000000005,2.0404131023633365,25,42
1,False,25,25,1.0567464906981359,0.056746490698135865,4.040476193197348e-06,0.044800000000000006,1.2729941193769314,25,62
2,False,25,25,1.0363915191508963,0.036391519150896334,8.051141883004545e-06,0.0368,1.7560674522931352,25,50
3,False,25,25,1.1078445678393478,0.10784456783934782,0.00048431759130467623,0.04,1.9548449984855405,25,45
4,False,25,25,1.1251234046945369,0.12512340469453687,3.591258662189431e-06,0.0432,1.5272379438135206,25,55
5,False,25,25,0.9523185863378291,0.047681413662170935,3.3758140435174433e-06,0.0496,1.9984773574294943,25,45
6,False,25,25,1.1235182044169179,0.12351820441691785,4.2182099787176945e-06,0.0416,1.5751741575450329,25,55
7,False,25,25,0.9978630490769217,0.002136950923078307,2.7547937813223507e-06,0.039999999999999994,1.2922593905625885,25,63
8,False,25,25,1.091893675173816,0.09189367517381597,3.141974574543624e-06,0.0416,1.608347211157846,25,49
9,False,25,25,1.050709679340204,0.050709679340203984,8.060979985987246e-06,0.038400000000000004,1.6152519144816013,25,52
0,False,25,50,1.0520963480003505,0.052096348000350456,0.018957185962112225,0.04880000000000001,1.4397608476145858,50,61
1,False,25,50,1.128772951308716,0.1287729513087159,0.006524656971607092,0.0392,1.4487612991460028,50,62
2,False,25,50,1.0055497844553511,0.005549784455351148,0.014556820410601612,0.046400000000000004,1.6572270713287036,50,54
3,False,25,50,1.0422095843551065,0.042209584355106466,0.007667835934486684,0.04880000000000002,1.388945866895549,50,62
4,False,25,50,1.0214533802285137,0.02145338022851373,0.019393576736144218,0.046400000000000004,1.918200057525575,50,49
5,False,25,50,1.0662661274216352,0.06626612742163518,0.003884633053395082,0.0288,1.4876882346213915,50,61
6,False,25,50,0.9904121181010034,0.00958788189899662,5.691382057552046e-05,0.03520000000000001,1.3492736053794818,50,65
7,False,25,50,1.0237003709627805,0.023700370962780548,0.01058367921684912,0.04000000000000001,1.5165224598441758,50,63
8,False,25,50,1.0612457327637566,0.061245732763756555,6.100420842069432e-05,0.0496,1.5749231168121391,50,59
9,False,25,50,1.0153278939548798,0.015327893954879768,0.005118990640425912,0.046400000000000004,1.7846651638216666,50,54
0,False,25,100,1.1288261132675026,0.1288261132675026,0.05765743264643762,0.042,1.3554864329634992,100,68
1,False,25,100,1.0505874406340936,0.050587440634093594,0.014801230972715056,0.0436,1.5078262549278274,100,62
2,False,25,100,0.9926228215915652,0.00737717840843477,0.007111920914675562,0.044000000000000004,1.3737077014654069,100,65
3,False,25,100,0.9786185075480895,0.021381492451910455,0.01874615463454892,0.0464,1.4426512370352889,100,64
4,False,25,100,1.041172291032774,0.04117229103277409,0.0007660326887460987,0.037600000000000015,1.3082656670725223,100,70
5,False,25,100,1.0699470115291176,0.06994701152911764,0.006609580805550045,0.047200000000000006,1.3141790152253972,100,66
6,False,25,100,0.9753636825403196,0.024636317459680424,0.018653245966334345,0.04800000000000001,1.4862580395846887,100,61
7,False,25,100,0.9401115691031666,0.05988843089683338,0.025342657661632625,0.044800000000000006,1.9759821634916261,100,52
8,False,25,100,0.9838412458507535,0.0161587541492465,0.02750155995253068,0.042,1.4741103232410382,100,64
9,False,25,100,1.0421898015254645,0.042189801525464476,0.0013953602446358977,0.04160000000000001,1.4579950737781013,100,64
0,False,50,25,0.9735905278182124,0.026409472181787574,5.076402450552295e-06,0.0496,1.5206029570681774,25,83
1,False,50,25,0.9828767057386721,0.01712329426132786,2.9844702790363973e-06,0.0336,0.993563282833266,25,102
2,False,50,25,1.0070461597403986,0.007046159740398572,5.6491803213041155e-06,0.0432,0.9968110350932154,25,97
3,False,50,25,0.9550776752367635,0.04492232476323654,5.690386495496933e-06,0.044800000000000006,0.8500542105308573,25,112
4,False,50,25,1.0891976159261951,0.08919761592619513,6.945892168031917e-06,0.049600000000000005,0.9750735466457567,25,101
5,False,50,25,0.9337219247698065,0.06627807523019347,3.867244649963684e-06,0.03359999999999999,1.1037126584555499,25,100
6,False,50,25,0.9412220035829192,0.05877799641708081,1.0556539838084152e-06,0.038400000000000004,1.250259147685399,25,86
7,False,50,25,1.0612052985325184,0.06120529853251844,6.704159835427467e-06,0.04479999999999999,1.0842891034997895,25,96
8,False,50,25,1.1270856869585355,0.1270856869585355,4.941438655192369e-06,0.0352,0.9327982178205332,25,105
9,False,50,25,1.0413678479065358,0.041367847906535804,2.7473597493296984e-06,0.0432,1.0263672288891121,25,100
0,False,50,50,1.0221992463398215,0.02219924633982151,5.5926348692718796e-06,0.04,0.9464395416340221,50,111
1,False,50,50,1.0578508348171294,0.05785083481712938,0.0011211225269434813,0.049600000000000005,1.1035267867594993,50,104
2,False,50,50,1.0207655467390664,0.020765546739066387,6.978633828473972e-06,0.044000000000000004,0.758396138254573,50,130
3,False,50,50,0.9781040864288145,0.021895913571185477,2.2062262485582142e-05,0.0456,0.8947063572003692,50,120
4,False,50,50,1.0067594486075029,0.006759448607502883,1.0427800012693944e-05,0.0288,0.7665329128736404,50,126
5,False,50,50,1.1564070175229706,0.1564070175229706,2.720162940749403e-06,0.0416,0.8094207906900857,50,119
6,False,50,50,0.9986165872376503,0.0013834127623496562,0.004487641240295575,0.0232,0.7931010526476323,50,127
7,False,50,50,1.0039602011288398,0.003960201128839769,4.685509075742065e-05,0.044000000000000004,1.089901273126923,50,103
8,False,50,50,1.0116199885243564,0.011619988524356417,4.5009041208740026e-06,0.03840000000000001,0.9643249230517431,50,114
9,False,50,50,1.0632444064229751,0.06324440642297513,0.00016506014415572658,0.04880000000000001,1.3484708015610218,50,92
0,False,50,100,0.8552125621282136,0.14478743787178638,0.05474072616030541,0.037200000000000004,0.9837004475339902,100,115
1,False,50,100,1.0057498520553942,0.0057498520553942445,6.499174097381792e-06,0.049600000000000005,0.8238909687308298,100,129
2,False,50,100,1.0515447573866008,0.051544757386600804,0.031290819767425336,0.0364,2.312172546212684,100,65
3,False,50,100,1.0330532894200797,0.03305328942007968,0.00011698393889317401,0.044400000000000016,0.819369951352535,100,133
4,False,50,100,0.997724490863248,0.0022755091367520075,0.008511074469326887,0.047200000000000006,0.9010349808202973,100,123
5,False,50,100,1.0315159269606622,0.03151592696066219,0.027808070139293987,0.04520000000000001,0.9548363762922758,100,120
6,False,50,100,0.9616160756012827,0.038383924398717295,0.0016627022602232386,0.0444,0.9184756730445481,100,120
7,False,50,100,1.0349123904855164,0.03491239048551642,0.004540633552506738,0.04520000000000001,0.878991356561035,100,123
8,False,50,100,1.108665557349263,0.10866555734926298,0.00045071107886234007,0.04920000000000001,0.8887091179957733,100,123
