repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
4,True,100,50,0.639824986099743,0.36017501390025697,2.2186608133707982e-07,0.0024,10.0,50
5,True,100,50,0.7670557598261665,0.23294424017383353,2.075787913573484e-07,0.004,10.0,50
6,True,100,50,0.8076762870259745,0.1923237129740255,1.5029210501464635e-07,0.0032,10.0,50
7,True,100,50,0.8553037926033998,0.14469620739660016,6.355425875091538e-07,0.0128,10.0,50
8,True,100,50,1.293364519222008,0.293364519222008,0.0,0.0,10.0,50
9,True,100,50,1.1408376168491028,0.1408376168491028,4.112381570286951e-07,0.008,10.0,50
0,True,100,100,-0.5738806062520813,1.5738806062520814,7.779884881980947e-07,0.024400000000000005,10.0,100
1,True,100,100,0.8066679752483066,0.19333202475169342,3.763410842703049e-07,0.0104,10.0,100
2,True,100,100,0.8153635579160544,0.18463644208394558,4.5748863374581867e-07,0.0044,10.0,100
3,True,100,100,0.9528464343569112,0.04715356564308881,8.957014680700711e-07,0.04160000000000001,10.0,100
4,True,100,100,0.6405756815423181,0.35942431845768186,1.0527791022285624e-07,0.0004,10.0,100
5,True,100,100,0.967145960569149,0.03285403943085097,7.183352202367847e-08,0.0016,10.0,100
6,True,100,100,0.3391255628934428,0.6608744371065571,6.692466160157505e-07,0.0216,10.0,100
7,True,100,100,0.470369813434113,0.529630186565887,1.4487159007382228e-07,0.0012,10.0,100
8,True,100,100,0.06300551632051998,0.93699448367948,6.731938581913845e-07,0.02840000000000001,10.0,100
9,True,100,100,0.7441705118994419,0.25582948810055806,2.78199572193654e-07,0.0028000000000000004,10.0,100
0,False,25,25,1.0188916064470208,0.018891606447020814,3.2730950335706234e-06,0.0496,1.7687323561057053,25
1,False,25,25,0.9889929890772957,0.011007010922704286,0.0009986343830286062,0.0368,1.9983968215265326,25
2,False,25,25,1.019257967772246,0.019257967772245976,0.0007619466706445698,0.044800000000000006,2.033562481946385,25
3,False,25,25,0.9463285867272073,0.05367141327279268,3.1696642592739736e-06,0.046400000000000004,1.928172724175127,25
4,False,25,25,1.0718018850961906,0.07180188509619057,0.02407715837183586,0.0384,1.8086931810580789,25
5,False,25,25,1.051872000984317,0.05187200098431699,6.340379499693772e-06,0.04,1.3658503226354968,25
6,False,25,25,1.0256983463139766,0.025698346313976606,0.0009128029169080279,0.048,2.189813330642938,25
7,False,25,25,0.9085067826983189,0.09149321730168114,2.4561464029868835e-05,0.0352,1.4590652682537,25
8,False,25,25,1.1058485489658985,0.10584854896589846,3.92058250211276e-05,0.04160000000000001,1.5431348838597125,25
9,False,25,25,1.0212046311534346,0.021204631153434628,0.0010931535598410376,0.04479999999999999,2.132536859626124,25
0,False,25,50,1.0233527995593632,0.023352799559363202,0.0009465649294035696,0.044800000000000006,1.6285371248657272,50
1,False,25,50,1.1005825027304854,0.10058250273048541,0.0004339040804199197,0.0392,1.6272669441929497,50
2,False,25,50,0.9365209858196006,0.06347901418039936,5.7612880358623474e-05,0.044800000000000006,1.6997143614214687,50
3,False,25,50,0.9593891120224584,0.04061088797754164,0.001562978668881031,0.0432,1.8218662878948892,50
4,False,25,50,0.9933920635506485,0.006607936449351537,0.0016877449864747666,0.036800000000000006,1.3411808851858043,50
5,False,25,50,1.0472481441564203,0.04724814415642031,0.021486079586271675,0.047200000000000006,1.4570285513489816,50
6,False,25,50,1.0084152840259408,0.008415284025940828,0.005457334682272337,0.04800000000000001,1.5620474341453983,50
7,False,25,50,1.0528076774664923,0.05280767746649229,4.1208038698716485e-06,0.04880000000000001,1.5503413450963572,50
8,False,25,50,1.0228384837812137,0.02283848378121367,0.003060166072808879,0.039200000000000006,1.4677789092157534,50
9,False,25,50,0.9686234483516124,0.031376551648387596,0.05284776069315592,0.0432,1.408774712071448,50
0,False,25,100,0.9711420679476622,0.028857932052337776,0.03899957446723014,0.049600000000000005,1.712273007686811,100
1,False,25,100,1.017756821908728,0.01775682190872807,0.024488122468963563,0.044000000000000004,1.5258482804192495,100
2,False,25,100,1.023118330462853,0.023118330462853054,0.007065985926105277,0.04080000000000001,1.3811485450272578,100
3,False,25,100,0.9900642304023051,0.009935769597694932,0.01593217410113421,0.048400000000000006,1.6690398752089173,100
4,False,25,100,1.0748159951242977,0.07481599512429771,0.0026981136272280276,0.04800000000000001,1.3867307506109938,100
5,False,25,100,0.9678389365452719,0.032161063454728134,0.023799836804653172,0.049600000000000005,1.5360924115103258,100
6,False,25,100,1.1009605208185063,0.10096052081850626,0.005410469378956003,0.046800000000000015,1.3474522892223972,100
7,False,25,100,0.9910011926608502,0.008998807339149817,0.014865460128319167,0.048400000000000006,1.8201207988988863,100
8,False,25,100,1.0128586662557042,0.012858666255704199,0.02433433140893219,0.0408,1.3937049997261366,100
9,False,25,100,1.034477785714162,0.034477785714162046,0.0007490297971765518,0.049600000000000005,2.0668546064002173,100
0,False,50,25,1.076892268635933,0.07689226863593301,3.3800963650266137e-06,0.04800000000000001,1.0541614066564629,25
1,False,50,25,0.9324027361571053,0.06759726384289466,1.5814847412594642e-06,0.0368,1.2604255152405528,25
2,False,50,25,1.1797111192686038,0.17971111926860384,2.3646702284582287e-06,0.0496,0.9191019941982801,25
3,False,50,25,0.9804318657488771,0.019568134251122915,4.458574273127584e-06,0.049600000000000005,0.8266565116391968,25
4,False,50,25,1.0529019215771114,0.05290192157711138,7.853856647218592e-06,0.04800000000000001,1.0793534071831699,25
5,False,50,25,0.9756081422778581,0.02439185772214192,4.2917337546840886e-06,0.038400000000000004,1.0801793569878595,25
6,False,50,25,1.0570982139042107,0.05709821390421066,4.158609611746416e-06,0.0496,1.2797462200298328,25
7,False,50,25,0.9841079327013601,0.0158920672986399,1.7062405631908172e-06,0.03840000000000001,0.8644783889357488,25
8,False,50,25,0.9678301713542647,0.032169828645735254,3.5067206847824093e-06,0.0416,1.152521752651991,25
9,False,50,25,1.0069477757166865,0.006947775716686477,0.0,0.0,0.01,25
0,False,50,50,1.006763338358163,0.006763338358162896,0.0051237082924907515,0.0288,0.8658172551867531,50
1,False,50,50,0.9881560061686989,0.01184399383130108,8.523214700228819e-06,0.04800000000000001,1.3301874599538277,50
2,False,50,50,1.0317231140851033,0.03172311408510331,4.144532160682809e-06,0.04160000000000001,0.8571664554587632,50
3,False,50,50,1.07603020747622,0.07603020747622002,3.2398444621161198e-06,0.04479999999999999,0.9741092019320492,50
4,False,50,50,1.0416183632758211,0.041618363275821135,2.800273969457356e-06,0.04,1.2541104644891305,50
5,False,50,50,0.9335509639476541,0.06644903605234587,0.021031458368238436,0.047200000000000006,0.8647973370355455,50
6,False,50,50,1.150076214338381,0.15007621433838092,7.914566063251694e-05,0.048000000000000015,1.0274397851675034,50
7,False,50,50,0.9691792252470597,0.030820774752940316,0.000511364008091822,0.047200000000000006,0.8692828214667327,50
8,False,50,50,1.0175811988253507,0.017581198825350697,8.941292627242541e-06,0.0496,0.9526789613484468,50
9,False,50,50,1.072614037741587,0.07261403774158692,4.622853551867438e-06,0.0328,0.8243583543668906,50
0,False,50,100,1.0244771630815888,0.02447716308158876,0.0001059984505447804,0.0368,0.7889181399358745,100
1,False,50,100,0.9402980223666101,0.05970197763338991,0.013618520703482333,0.04320000000000001,0.9283968572639861,100
2,False,50,100,0.9262619496535244,0.07373805034647563,0.005697928944069892,0.04200000000000001,0.8415630965927425,100
3,False,50,100,1.0148778128287261,0.014877812828726134,0.044041628198527416,0.049600000000000005,0.7471228688323757,100
4,False,50,100,0.9862360129352461,0.013763987064753902,0.00010108328587515705,0.0432,0.7424351398629556,100
5,False,50,100,0.9857975437268759,0.014202456273124109,3.995399742785139e-05,0.04920000000000001,0.9692365090587085,100
6,False,50,100,1.0582090431189708,0.058209043118970794,0.02416381598916491,0.044800000000000006,0.879637919497765,100
7,False,50,100,1.0030831955713722,0.003083195571372155,0.004426828031230135,0.046400000000000004,1.137967811741602,100
8,False,50,100,0.9581656285186888,0.041834371481311194,0.027524998093319403,0.04160000000000001,1.9938996027668685,100
9,False,50,100,0.9864423397044176,0.013557660295582363,3.147125839538766e-05,0.038400000000000004,0.7723870815818928,100
0,False,100,25,1.0339037068074313,0.033903706807431266,3.9445361400311195e-06,0.043199999999999995,0.5262190891974026,25
1,False,100,25,1.0431153565494662,0.04311535654946619,2.3268699814774945e-06,0.0496,0.6943027188152449,25
2,False,100,25,1.0341834006963893,0.034183400696389254,1.445313654756899e-06,0.028800000000000003,0.6506761865166588,25
3,False,100,25,1.0405946030924669,0.040594603092466874,6.624096217292199e-06,0.04800000000000001,0.777744467882209,25
4,False,100,25,0.9869377775884852,0.013062222411514779,3.610635969211604e-06,0.04,0.6381452567219215,25
5,False,100,25,0.9653989108502021,0.03460108914979787,5.35894611987371e-06,0.0432,0.5995228241758419,25
6,False,100,25,1.0106961390820997,0.010696139082099654,3.355613952697429e-06,0.049600000000000005,0.579691305462666,25
7,False,100,25,1.0779548801589725,0.07795488015897245,4.561232694376736e-06,0.032,0.6792220652970107,25
8,False,100,25,1.0547944337041322,0.05479443370413217,3.065381356426356e-06,0.044800000000000006,0.6583690480758742,25
9,False,100,25,0.9851806162774964,0.014819383722503576,4.28187141573899e-06,0.03840000000000001,0.49398642728424635,25
0,False,100,50,1.0964757924198496,0.0964757924198496,2.6437149076336397e-06,0.048799999999999996,0.6801154966508116,50
1,False,100,50,1.0641798579063113,0.06417985790631131,4.072340561365351e-06,0.0464,0.5465423206423816,50
2,False,100,50,1.0269487678833646,0.026948767883364644,6.170117958096216e-06,0.0408,0.5432256971546177,50
3,False,100,50,1.0194106766883229,0.01941067668832286,1.6068382779035766e-05,0.04880000000000001,0.5583420401251781,50
4,False,100,50,1.0735409687234798,0.07354096872347982,5.705569850448884e-06,0.03600000000000001,0.6324930886206639,50
5,False,100,50,0.9970305930996792,0.00296940690032077,2.9912175059206705e-05,0.0376,0.5070905362711311,50
6,False,100,50,1.0557465752625381,0.05574657526253812,4.460454772493565e-06,0.032799999999999996,0.5099783768725924,50
7,False,100,50,1.0471757444431593,0.047175744443159306,5.49068584479295e-06,0.032,0.6438747322523801,50
8,False,100,50,0.9916656114548015,0.008334388545198523,2.7819449940519794e-06,0.039200000000000006,0.4715827921256838,50
9,False,100,50,0.9776066050785818,0.02239339492141823,3.1907894871024614e-06,0.044000000000000004,0.6834763087590962,50
0,False,100,100,0.9205768791475175,0.07942312085248249,0.0002833324161338685,0.0408,0.6627075301125267,100
1,False,100,100,1.0219352796157972,0.02193527961579722,1.0839251913106038e-05,0.048799999999999996,0.6896136287986617,100
2,False,100,100,1.0668381976163095,0.06683819761630949,7.589969708594629e-06,0.04680000000000001,0.5104183900560637,100
3,False,100,100,0.9813547437271519,0.018645256272848076,1.9419068590935417e-05,0.04680000000000001,0.48451809495883624,100
4,False,100,100,1.0447062584626066,0.04470625846260656,3.2746357403515625e-05,0.04800000000000001,0.5216570800724489,100
5,False,100,100,1.1010272249600797,0.10102722496007965,0.0018989887007716296,0.0436,0.5048088113678051,100
6,False,100,100,1.0108119965298117,0.010811996529811685,0.00012812714864721426,0.03640000000000001,0.4958173020273528,100
7,False,100,100,0.9529578588881491,0.0470421411118509,2.4834809518201143e-05,0.046400000000000004,0.5092386345326009,100
8,False,100,100,1.1081306861914546,0.1081306861914546,0.0002938270884145097,0.04080000000000001,0.4973030193254416,100
9,False,100,100,1.021276515474876,0.021276515474875968,6.047126976928874e-06,0.048000000000000015,0.49083247497400584,100
