repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
3,True,25,100,0.5420595060674864,0.45794049393251357,1.6990668771921235e-08,0.00025,10.0,100
4,True,25,100,1.099231291969175,0.0992312919691749,1.2203878472227819e-07,0.00025,10.0,100
5,True,25,100,1.1635365531001853,0.16353655310018533,7.547224188618401e-07,0.016,10.0,100
6,True,25,100,0.7720945604287417,0.2279054395712583,5.029890864432141e-07,0.0065000000000000014,10.0,100
7,True,25,100,0.9351517478337203,0.06484825216627965,5.492014168248866e-07,0.007500000000000003,10.0,100
8,True,25,100,1.146551147179554,0.14655114717955398,2.809320174200426e-07,0.002,10.0,100
9,True,25,100,0.8606056368576214,0.13939436314237863,3.539814462302841e-07,0.0027500000000000003,10.0,100
0,True,50,25,0.9192926369813732,0.0807073630186268,3.649995568233422e-07,0.001,10.0,25
1,True,50,25,1.2050605956205418,0.2050605956205418,3.2622931776582953e-07,0.0030000000000000005,10.0,25
2,True,50,25,0.6660091443168562,0.3339908556831438,5.372482786804373e-07,0.015000000000000005,10.0,25
3,True,50,25,0.5212025547783627,0.47879744522163725,0.0,0.0,10.0,25
4,True,50,25,0.566615087414431,0.433384912585569,1.930774692158737e-07,0.006999999999999999,10.0,25
5,True,50,25,0.7689764167569075,0.23102358324309247,5.543197667160856e-07,0.0030000000000000005,10.0,25
6,True,50,25,0.967302099139677,0.03269790086032298,2.200637907234199e-07,0.002,10.0,25
7,True,50,25,0.7462036884108769,0.2537963115891231,2.782135928933067e-07,0.002,10.0,25
8,True,50,25,0.15829554042615576,0.8417044595738442,0.0,0.0,10.0,25
9,True,50,25,0.5071546970123633,0.49284530298763674,0.0,0.0,10.0,25
0,True,50,50,1.0080263952645998,0.008026395264599806,1.0855065749223352e-06,0.018500000000000006,10.0,50
1,True,50,50,0.9605591704830101,0.039440829516989906,3.354084774852938e-07,0.001,10.0,50
2,True,50,50,0.6929154105092539,0.30708458949074613,4.837087844735707e-07,0.004999999999999999,10.0,50
3,True,50,50,1.2736079579219954,0.27360795792199544,9.978217424682319e-07,0.022500000000000006,10.0,50
4,True,50,50,0.9645161116197412,0.03548388838025884,6.144342127071621e-07,0.006000000000000001,10.0,50
5,True,50,50,1.1076505516654576,0.10765055166545756,9.072344469749647e-07,0.029500000000000002,10.0,50
6,True,50,50,1.3609180704583996,0.36091807045839963,5.953718682899139e-07,0.0125,10.0,50
7,True,50,50,0.6690684434359103,0.3309315565640897,2.2384729291678373e-07,0.0015000000000000002,10.0,50
8,True,50,50,0.46114114424443237,0.5388588557555676,3.6001254436561814e-07,0.0015000000000000002,10.0,50
9,True,50,50,0.5707435187812001,0.4292564812187999,6.322020381522248e-07,0.008500000000000002,10.0,50
0,True,50,100,0.19720008147392243,0.8027999185260776,7.82600617548848e-07,0.012,10.0,100
1,True,50,100,0.7770163896120347,0.22298361038796533,2.5741217241936915e-07,0.002,10.0,100
2,True,50,100,1.2759611277156468,0.27596112771564685,8.07370207206003e-07,0.02025,10.0,100
3,True,50,100,0.5409996909753808,0.4590003090246192,3.6419699747263936e-07,0.00425,10.0,100
4,True,50,100,0.6385155174993609,0.36148448250063914,5.283626289517302e-07,0.011500000000000002,10.0,100
5,True,50,100,0.880674123394757,0.11932587660524296,2.477871431515022e-07,0.00125,10.0,100
6,True,50,100,0.9397075557278204,0.06029244427217961,7.009397496592854e-07,0.013999999999999999,10.0,100
7,True,50,100,1.0904166920025116,0.09041669200251157,7.032608141533742e-07,0.014000000000000002,10.0,100
8,True,50,100,0.8381813728091562,0.16181862719084383,6.158203808525635e-07,0.009500000000000001,10.0,100
9,True,50,100,1.1663336041541177,0.1663336041541177,2.5059890591350484e-07,0.002,10.0,100
0,True,100,25,1.055132065239643,0.05513206523964298,9.99900970911251e-07,0.027000000000000007,10.0,25
1,True,100,25,0.12404394125520418,0.8759560587447959,1.5194303627271065e-06,0.03700000000000001,10.0,25
2,True,100,25,1.206825789505746,0.20682578950574593,7.403577041640603e-07,0.015000000000000006,10.0,25
3,True,100,25,0.9033544786379717,0.09664552136202831,1.0439309743320202e-06,0.017,10.0,25
4,True,100,25,-0.26479800544108545,1.2647980054410854,1.4186539536002505e-06,0.03900000000000001,10.0,25
5,True,100,25,1.349510824106312,0.34951082410631207,8.817819398056323e-07,0.018000000000000002,10.0,25
6,True,100,25,1.0850841033847003,0.0850841033847003,4.6880431696993314e-07,0.0030000000000000005,10.0,25
7,True,100,25,0.7881013593856544,0.2118986406143456,7.300844959812649e-07,0.021,10.0,25
8,True,100,25,0.9920276955224927,0.007972304477507297,1.37033462585783e-06,0.03300000000000001,10.0,25
9,True,100,25,2.418144808273355,1.4181448082733552,0.0,0.0,10.0,25
0,True,100,50,0.26540852014528765,0.7345914798547124,5.607473066727768e-17,0.0,10.0,50
1,True,100,50,0.9044017478989089,0.09559825210109107,8.175615231504114e-07,0.019000000000000006,10.0,50
2,True,100,50,0.7268234968906462,0.2731765031093538,3.311649428394314e-08,0.001,10.0,50
3,True,100,50,0.6646573078722194,0.33534269212778056,4.3573923199517893e-07,0.004,10.0,50
4,True,100,50,0.29750907908319474,0.7024909209168053,9.651036987777026e-07,0.028999999999999998,10.0,50
5,True,100,50,0.21801119889054768,0.7819888011094523,2.9715241663457306e-07,0.004,10.0,50
6,True,100,50,0.7152512275349023,0.28474877246509767,1.2925577137081512e-06,0.04649999999999999,10.0,50
7,True,100,50,0.6473317764066878,0.3526682235933122,6.671531861752551e-07,0.0055,10.0,50
8,True,100,50,1.021230608999131,0.021230608999130984,1.2419336415205207e-06,0.0345,10.0,50
9,True,100,50,-0.10666865938974106,1.106668659389741,6.219689787662096e-07,0.015000000000000003,10.0,50
0,True,100,100,-0.7978852230016461,1.797885223001646,4.6987732393866096e-08,0.00025,10.0,100
1,True,100,100,0.48420194515897214,0.5157980548410279,1.2702727759705909e-06,0.0405,10.0,100
2,True,100,100,0.4382301567430629,0.5617698432569371,1.1744524607412799e-06,0.03275,10.0,100
3,True,100,100,-0.4875115394731726,1.4875115394731726,9.020764841866506e-07,0.017750000000000002,10.0,100
4,True,100,100,0.6803034508433864,0.3196965491566136,6.035816260369239e-07,0.006250000000000001,10.0,100
5,True,100,100,1.450331415542836,0.45033141554283596,5.807697278678232e-07,0.010000000000000002,10.0,100
6,True,100,100,-0.6596070800568898,1.6596070800568898,5.200035045071065e-07,0.004750000000000001,10.0,100
7,True,100,100,-0.6482496501070737,1.6482496501070738,1.1158161231197418e-16,0.0,10.0,100
8,True,100,100,1.2407681782648279,0.24076817826482788,2.6836928119953566e-07,0.0027500000000000003,10.0,100
9,True,100,100,0.7826161954650039,0.21738380453499606,7.926906966794094e-07,0.010750000000000003,10.0,100
0,False,25,25,1.194643190252141,0.19464319025214105,0.007649487895690564,0.03300000000000001,0.3194335022175757,25
1,False,25,25,1.1803307725867416,0.18033077258674157,0.00284574845474714,0.045,0.3967593146839092,25
2,False,25,25,1.137876952171037,0.13787695217103701,0.005831662681863859,0.035,0.3777731109658933,25
3,False,25,25,1.1558484118488321,0.15584841184883214,0.02230322727939277,0.047,0.3781725940105275,25
4,False,25,25,1.0507169825783933,0.0507169825783933,0.0767233850938905,0.04000000000000001,0.3603808802191234,25
5,False,25,25,1.2221194238827562,0.22211942388275618,0.007039968107087624,0.04100000000000001,0.3711425255947158,25
6,False,25,25,1.224720698190174,0.22472069819017393,0.0394068215373566,0.019999999999999997,0.3046802379078078,25
7,False,25,25,1.3211338037915559,0.32113380379155587,0.028518686392928694,0.04300000000000001,0.3155026443434681,25
8,False,25,25,1.1863134410473375,0.1863134410473375,2.7876248737237123e-06,0.038000000000000006,0.2855693828293431,25
9,False,25,25,1.1347935603289254,0.13479356032892542,3.48494020940783e-06,0.026000000000000006,0.38943113044507827,25
0,False,25,50,1.2237991847254723,0.22379918472547233,0.040784840563017274,0.033,0.29512148133581506,50
1,False,25,50,1.2482484282985922,0.24824842829859217,0.01103461548060391,0.048,0.3324616824835026,50
2,False,25,50,1.1324309701252786,0.1324309701252786,0.03942263800844799,0.036500000000000005,0.308948443283629,50
3,False,25,50,0.9389389525847512,0.06106104741524876,0.058304304431128606,0.04100000000000001,0.32599560454831916,50
4,False,25,50,1.2011291062527483,0.20112910625274827,0.020367838363737425,0.049,0.31478988194212193,50
5,False,25,50,1.2134973697089217,0.21349736970892175,0.058177148084449924,0.049,0.30636858161166713,50
6,False,25,50,1.2481073541234133,0.24810735412341334,0.0710584789453184,0.047499999999999994,0.30722192637247536,50
7,False,25,50,1.1139932964237984,0.11399329642379841,0.07750079713377414,0.0495,0.341343772078498,50
8,False,25,50,1.243182220377591,0.24318222037759107,0.025997596767433327,0.044,0.32845468792363336,50
9,False,25,50,1.1585267232963936,0.1585267232963936,0.07625194146752233,0.04449999999999999,0.36538145991643256,50
0,False,25,100,1.1904358319750679,0.19043583197506786,0.05038658065395935,0.048999999999999995,0.4513407361338007,100
1,False,25,100,1.1451516535770425,0.14515165357704252,0.07741059041629673,0.04875000000000001,0.33247230987469534,100
2,False,25,100,1.1420964260141926,0.1420964260141926,0.05917509124373429,0.04649999999999999,0.28841695983463617,100
