repeat,seed,alpha,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
5,2,0.5,0.937033531891569,0.06296646810843098,0.032040455382168834,0.04800000000000001,3.031783403217411,50
5,2,0.8,0.9556630702742401,0.044336929725759866,8.769525876327732e-06,0.04800000000000001,1.968733626123965,50
6,2,0.3,0.8831112129095792,0.11688878709042083,0.0121017471342949,0.039200000000000006,1.3216494719261567,50
6,2,0.5,0.8868583434110584,0.1131416565889416,0.0076294442578385135,0.047200000000000006,2.216672000952599,50
6,2,0.8,0.8743461785953227,0.1256538214046773,0.015115273373721724,0.044,2.285503144083891,50
7,2,0.3,0.8510870828659837,0.14891291713401633,3.1034965863723475e-05,0.04159999999999999,1.516967169827025,50
7,2,0.5,0.8886110082643457,0.11138899173565431,0.010401008600944965,0.0416,1.65304844549527,50
7,2,0.8,0.8656397609643487,0.1343602390356513,0.0023010957763348575,0.049600000000000005,2.6388221510163383,50
8,2,0.3,0.9619444577667108,0.03805554223328922,0.011470960602358528,0.04640000000000002,1.4820015351859448,50
8,2,0.5,0.8530394411560615,0.14696055884393855,0.01040164495314229,0.039200000000000006,1.730910909772656,50
8,2,0.8,0.9942724551644164,0.005727544835583576,0.0032757488704587183,0.04080000000000001,1.8629293452621967,50
9,2,0.3,0.9616800288376177,0.03831997116238228,4.775250339470031e-05,0.0376,1.4011738575438355,50
9,2,0.5,0.8195169352332807,0.18048306476671927,0.01604048839099223,0.044,1.5859113528891977,50
9,2,0.8,0.7865979494312282,0.21340205056877182,0.005632790254540759,0.0424,2.5496864792563123,50
0,3,0.3,1.096360907726288,0.09636090772628791,0.018620469576076618,0.0376,1.3663847149109272,50
0,3,0.5,1.0466999231556888,0.04669992315568883,0.0007709679067741833,0.044800000000000006,1.287664202528709,50
0,3,0.8,1.0275859409838288,0.027585940983828827,0.006428213083005508,0.046400000000000004,1.792356047427186,50
1,3,0.3,0.971413408500468,0.02858659149953202,0.00019206678785121963,0.0352,1.0522801407509144,50
1,3,0.5,1.058708742175139,0.058708742175139106,0.0021405541635760457,0.0432,1.0952305612216715,50
1,3,0.8,1.0163742400338085,0.016374240033808496,0.0021848488200100842,0.046400000000000004,1.8946750505901302,50
2,3,0.3,1.037634466661351,0.03763446666135106,2.8603998502710385e-05,0.0408,1.164863521245407,50
2,3,0.5,0.9929762496032914,0.00702375039670855,0.012780536697920434,0.043199999999999995,1.4109738618070122,50
2,3,0.8,1.001923988422283,0.0019239884222830295,0.0012231641952011993,0.03920000000000001,1.4810441869611153,50
3,3,0.3,1.028234805032108,0.028234805032107957,0.0,0.0,0.01,50
3,3,0.5,0.91557955984138,0.08442044015862005,2.933365398774087e-06,0.046400000000000004,1.4222301394704209,50
3,3,0.8,1.0133518462879216,0.013351846287921632,0.005371402932276613,0.044000000000000004,1.5324138780431382,50
4,3,0.3,1.0019969213511846,0.0019969213511845663,2.0361498593800223e-05,0.03280000000000001,1.2469131968188394,50
4,3,0.5,1.0154714599467038,0.015471459946703847,0.0325440716563077,0.0416,1.5459779217156155,50
4,3,0.8,1.1170346402313183,0.11703464023131827,0.006084415134755984,0.0456,1.8241024759626354,50
5,3,0.3,1.0264082524603273,0.026408252460327297,0.026264007887649522,0.042400000000000014,1.2748241767368644,50
5,3,0.5,0.9682524306112282,0.03174756938877177,4.9078996174504736e-05,0.032,1.3839058651168055,50
5,3,0.8,1.0364151187277095,0.03641511872770953,1.1282198366339449e-05,0.032799999999999996,1.446956910093876,50
6,3,0.3,0.9144346207925059,0.08556537920749407,1.0430821928339956e-05,0.0328,1.255962884247484,50
6,3,0.5,0.9340711559056314,0.06592884409436861,0.021152784990713845,0.04479999999999999,1.4356087715739445,50
6,3,0.8,1.0109220937403742,0.010922093740374228,0.0045927509012130985,0.04800000000000001,1.9992864629273108,50
7,3,0.3,1.017013312839624,0.01701331283962393,0.00796651642697721,0.0424,1.2735295019383845,50
7,3,0.5,1.0814683219043923,0.08146832190439235,0.0003706844288891626,0.047200000000000006,1.229919762281686,50
7,3,0.8,1.044122202420365,0.04412220242036491,0.029903533994655476,0.044000000000000004,1.5043696546723184,50
8,3,0.3,1.0387055471085365,0.038705547108536464,6.260259902097207e-05,0.03440000000000001,1.273416549950964,50
8,3,0.5,0.966609792474456,0.033390207525544,0.0014376640347592876,0.044800000000000006,1.8189148978755245,50
8,3,0.8,0.9113656513968807,0.08863434860311925,5.159133078088149e-05,0.04880000000000001,1.4984768012191183,50
9,3,0.3,1.0228699582538932,0.022869958253893152,4.5920496238876184e-05,0.032,1.4185226929677583,50
9,3,0.5,0.9514724774622679,0.04852752253773207,0.0006883476635302236,0.0416,1.7111079935346996,50
9,3,0.8,0.9876905760008288,0.012309423999171232,0.000337943140070876,0.025600000000000005,1.606147717199105,50
0,4,0.3,1.0387680961802443,0.03876809618024435,0.0039260261694732184,0.04,1.3692249838987773,50
0,4,0.5,0.9653499016126164,0.03465009838738364,0.0024171064327003925,0.03120000000000001,2.0918864329073856,50
0,4,0.8,1.0552441462974371,0.055244146297437124,0.0010365329602330733,0.04640000000000002,2.001785554843876,50
1,4,0.3,0.9971103608411545,0.0028896391588455472,9.540662664940973e-05,0.0416,1.9297452267955952,50
1,4,0.5,1.078170663335198,0.07817066333519795,0.004281042282254533,0.0392,2.45857820372124,50
1,4,0.8,1.0608721945394297,0.060872194539429714,9.524277986080437e-05,0.047200000000000006,2.0615834013127587,50
2,4,0.3,1.0593596411423878,0.05935964114238779,0.0012139749822114472,0.042400000000000014,1.4841708826300537,50
2,4,0.5,0.9697181414761489,0.030281858523851124,0.0028720807414351016,0.0424,1.4283455935278577,50
2,4,0.8,1.039038994319756,0.03903899431975599,0.012336835007786697,0.044000000000000004,1.8117241294932152,50
3,4,0.3,1.0731045614779995,0.07310456147799949,0.009866225479747496,0.04880000000000001,2.050465183108329,50
3,4,0.5,0.9628213944551631,0.037178605544836874,0.005899601579045958,0.04800000000000001,1.5473414985107543,50
3,4,0.8,1.0163712598090402,0.016371259809040195,0.0014400827673160441,0.0424,2.188655618303308,50
4,4,0.3,1.162511597654281,0.16251159765428103,2.8363780404192153e-06,0.036000000000000004,1.3703879409973658,50
4,4,0.5,1.0258262065488726,0.025826206548872577,0.0023644948131101118,0.049600000000000005,1.7727428984342306,50
4,4,0.8,0.991487951269215,0.008512048730785038,1.8616244263046075e-05,0.046400000000000004,2.4564016933312693,50
5,4,0.3,0.937230029115322,0.06276997088467795,9.161051160900434e-06,0.04239999999999999,1.5372985165783193,50
5,4,0.5,1.0182756495331702,0.01827564953317018,0.006889248295253076,0.049600000000000005,1.931415849982514,50
5,4,0.8,1.0780312233808507,0.07803122338085067,0.004345168412792832,0.04880000000000001,1.9156114620779663,50
6,4,0.3,1.0620866155171966,0.06208661551719663,4.2639741539792084e-05,0.042400000000000014,1.4130592679811818,50
6,4,0.5,1.1570855433992913,0.15708554339929126,0.023951324332373992,0.042400000000000014,1.8631730014071999,50
