seed,repeat,mh_sd,mh_iters,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,0,0.03,20,0.355898787902806,0.6441012120971941,0.017569335413657777,0.040999999999999995,0.41608517065294526,50
1,0,0.03,20,-0.6487475749574877,1.6487475749574876,0.4570222395612509,0.037,0.4309556900670871,50
2,0,0.03,20,-0.2803913196478691,1.2803913196478691,0.003237019758209274,0.035,0.5178930138170295,50
3,0,0.03,20,-0.21227070371705664,1.2122707037170566,0.0026152851007033,0.03799999999999999,0.8023800919444191,50
4,0,0.03,20,0.34930765609978365,0.6506923439002164,0.5327895555605452,0.03,0.6411782976167986,50
5,0,0.03,20,1.0440465383944078,0.04404653839440775,0.0028702913124553616,0.045,0.30889527346570794,50
6,0,0.03,20,0.6340140917575146,0.36598590824248545,0.005557553698706932,0.031000000000000007,0.5620476549399462,50
7,0,0.03,20,1.0121468742439865,0.012146874243986527,0.009611908296417006,0.04500000000000001,0.419558844044406,50
8,0,0.03,20,0.8626176582920161,0.1373823417079839,0.008202309373691133,0.028000000000000008,0.5325615524523171,50
9,0,0.03,20,0.3829457756322169,0.6170542243677831,0.004329101920227321,0.016,0.6029227627903049,50
0,1,0.03,20,0.6110482177567637,0.38895178224323634,0.010530581590803119,0.028000000000000004,0.3603872160111058,50
1,1,0.03,20,0.45752481033630665,0.5424751896636933,0.010722459843336063,0.04500000000000001,0.4606214634968743,50
2,1,0.03,20,0.19765788115378438,0.8023421188462156,0.0077930833419939645,0.042,0.793307538376522,50
3,1,0.03,20,0.6598251626093414,0.34017483739065857,0.007748686889417643,0.03600000000000001,0.9877916298855606,50
4,1,0.03,20,0.5091382082823673,0.49086179171763267,0.009309638664035265,0.040999999999999995,0.6259616966348724,50
5,1,0.03,20,0.7430948089828638,0.25690519101713616,0.008048109639943627,0.04800000000000001,0.29158570530877936,50
6,1,0.03,20,0.8173049969270731,0.18269500307292685,0.005849416706483272,0.018000000000000002,0.5368913991321893,50
7,1,0.03,20,0.5417932363181281,0.45820676368187185,0.1209756328660813,0.039999999999999994,0.44936327989139657,50
8,1,0.03,20,0.4250060366709145,0.5749939633290855,0.01082158822549023,0.04100000000000001,0.4530770505935564,50
9,1,0.03,20,0.09933506706627339,0.9006649329337266,0.0076878202078574254,0.04999999999999999,0.653599386795487,50
0,2,0.03,20,0.30075438625616324,0.6992456137438368,0.0023598330378072265,0.035,0.41942880829997886,50
1,2,0.03,20,0.034910208946657806,0.9650897910533422,0.01455573017162505,0.04100000000000001,0.4040830440398509,50
2,2,0.03,20,0.049753836107190245,0.9502461638928098,0.13314083588586836,0.027000000000000007,0.8077348433552507,50
3,2,0.03,20,-0.34821018129956727,1.3482101812995673,0.007119319756838879,0.049,1.0657010493193901,50
4,2,0.03,20,0.4819539448013685,0.5180460551986314,0.008482780037793312,0.028999999999999998,0.6100470786452055,50
5,2,0.03,20,0.465034460775325,0.534965539224675,0.003218692153480866,0.03800000000000001,0.30050071784317045,50
6,2,0.03,20,1.1006421021277004,0.10064210212770042,0.03969647861587493,0.04,0.697941746883908,50
7,2,0.03,20,0.846838589489868,0.153161410510132,0.0015081160002902503,0.044000000000000004,0.3415344274798857,50
8,2,0.03,20,0.3077409679103239,0.6922590320896761,0.005610980329588302,0.04999999999999999,0.6138586640891991,50
9,2,0.03,20,0.1929292727460788,0.8070707272539213,0.003905923963682094,0.04100000000000001,0.6366294207275758,50
0,3,0.03,20,0.014441927211159626,0.9855580727888403,0.05474370579296489,0.049,0.4194047791152523,50
1,3,0.03,20,-0.4368540228991122,1.4368540228991122,0.006364010399824094,0.04,0.3862408260221441,50
2,3,0.03,20,0.09443055824195927,0.9055694417580408,0.08118616190021376,0.04300000000000001,0.7574757487862328,50
3,3,0.03,20,0.5533979094821347,0.44660209051786526,0.47639954208650587,0.048,0.9629941396577772,50
4,3,0.03,20,0.6200120155584945,0.3799879844415055,0.004991595139088532,0.049,0.6139300919542559,50
5,3,0.03,20,0.9399734809000422,0.06002651909995782,0.006431187903218113,0.04300000000000001,0.3031123537870211,50
6,3,0.03,20,0.8805850751728791,0.1194149248271209,0.22703304561208548,0.031000000000000007,0.5667571755391544,50
7,3,0.03,20,0.8496559088050555,0.15034409119494452,0.0024209344627857204,0.04699999999999999,0.3225859241161138,50
8,3,0.03,20,0.3017192140641242,0.6982807859358757,0.1485575695541591,0.040999999999999995,0.46072057429980723,50
9,3,0.03,20,-0.9781885021726638,1.9781885021726637,0.2391157871050706,0.049,0.9121942271089322,50
0,4,0.03,20,0.27271802567883396,0.727281974321166,0.006099610092836985,0.04200000000000001,0.41021720509553156,50
1,4,0.03,20,-0.2693857695495994,1.2693857695495994,0.004575909953617038,0.046,0.4261260053333196,50
2,4,0.03,20,-0.1548305651323456,1.1548305651323456,0.3056448711161674,0.037000000000000005,0.6782291631217463,50
3,4,0.03,20,0.10385467267993999,0.89614532732006,0.10740968479562775,0.048,0.7921611801283264,50
4,4,0.03,20,1.0206415012214238,0.02064150122142383,0.0024652088026395386,0.04,0.5063597639541486,50
5,4,0.03,20,1.0057143068036423,0.005714306803642266,0.004529444499176111,0.044000000000000004,0.30318216092824823,50
6,4,0.03,20,0.3008422149713193,0.6991577850286808,0.007184956918132978,0.047000000000000014,0.5531563005036426,50
7,4,0.03,20,0.7565543332140539,0.24344566678594615,0.005791262648032938,0.028000000000000004,0.2805453949166038,50
8,4,0.03,20,0.7019636684019893,0.2980363315980107,0.007136641221436871,0.043,0.44703651862586025,50
9,4,0.03,20,0.4444904792183641,0.5555095207816358,0.008736673986295107,0.04300000000000001,0.49868777301020684,50
