repeat,seed,alternative_tempering,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,0,True,1.0962910060631441,0.09629100606314411,0.16480867796544837,0.0184,0.9989089530106321,50
0,0,False,1.1145487131765974,0.11454871317659743,0.011068525859933571,0.047200000000000006,1.3472962767941175,50
1,0,True,1.2762461561869214,0.2762461561869214,0.1376747819538199,0.03840000000000001,0.9990098926381481,50
1,0,False,1.0149397156452875,0.01493971564528751,3.713081051567947e-05,0.044000000000000004,1.2336997091143935,50
2,0,True,1.2467331316198569,0.24673313161985688,0.11621919670044083,0.04880000000000001,0.9991631627385986,50
2,0,False,1.0642461450284921,0.06424614502849213,0.0001369384059921707,0.0384,1.1655433290555197,50
3,0,True,1.178087673558764,0.17808767355876398,0.072060093269813,0.0176,0.9989952756936755,50
3,0,False,1.0865909954596675,0.08659099545966753,0.00232934471535895,0.0376,1.3705480684385751,50
4,0,True,1.1856086260053436,0.18560862600534356,0.1460799343041239,0.024800000000000003,0.9986703623634173,50
4,0,False,1.1271359438256026,0.12713594382560256,0.008252145921865269,0.046400000000000004,1.40720358246277,50
5,0,True,1.2008265462723928,0.20082654627239283,0.11292512998126031,0.008799999999999997,0.9988198920742872,50
5,0,False,1.0717108062659166,0.07171080626591664,0.015863851216948784,0.047200000000000006,1.19686397005329,50
6,0,True,1.154914597969028,0.15491459796902807,0.12080709524964636,0.039200000000000006,0.999144930086209,50
6,0,False,1.043423746583909,0.043423746583908907,5.62338098405337e-06,0.03200000000000001,1.2972854125652147,50
7,0,True,1.1019469738883299,0.10194697388832985,0.12929593418072363,0.009600000000000001,0.9988338326091105,50
7,0,False,1.1657402435400253,0.16574024354002526,0.0007918390067279071,0.039200000000000006,1.3560037115168622,50
8,0,True,1.2830587776944773,0.2830587776944773,0.15367178146992386,0.024000000000000004,0.9988114833246882,50
8,0,False,1.0561337346379118,0.056133734637911825,0.004491231204451979,0.0416,1.4369292942015641,50
9,0,True,1.2712434608578587,0.27124346085785866,0.15778460812795156,0.008799999999999999,0.998435203059708,50
9,0,False,1.1221169478250852,0.1221169478250852,1.6219280682059082e-05,0.031200000000000006,1.1276573131956076,50
0,1,True,0.8831896537976648,0.11681034620233521,0.09912063240799217,0.0048000000000000004,0.9976776303264012,50
0,1,False,0.8742316134984631,0.12576838650153688,0.004710847251007604,0.0416,1.5403531747420893,50
1,1,True,0.8468063625583743,0.15319363744162573,0.10248812342751355,0.018400000000000003,0.9982995050305234,50
1,1,False,0.8351468118088698,0.16485318819113015,0.019667259996305392,0.049600000000000005,1.2450603430069882,50
2,1,True,0.8372915124459152,0.16270848755408485,0.10614901091433755,0.0408,0.9990300496861315,50
2,1,False,0.8694965487150792,0.1305034512849208,0.0002095467823426863,0.032,1.354832980374427,50
3,1,True,0.9322694113660468,0.0677305886339532,0.11534150709131913,0.049600000000000005,0.9992006293942002,50
3,1,False,0.8729880838064753,0.1270119161935247,0.0005682770472759287,0.044800000000000006,1.8332826938482076,50
4,1,True,0.9100832507330234,0.08991674926697657,0.11611387714244269,0.03200000000000001,0.9990940001747928,50
4,1,False,0.8840365663569625,0.11596343364303752,0.002645879110311893,0.0496,1.3929664334174865,50
5,1,True,0.7911586985093055,0.20884130149069446,0.06506915700719189,0.016000000000000004,0.998571022380941,50
5,1,False,1.0009326240908363,0.000932624090836276,4.733800473037576e-06,0.044800000000000006,1.364901142069343,50
6,1,True,0.9542231899868042,0.04577681001319578,0.15754242877589145,0.0248,0.9989577926785774,50
6,1,False,0.8288931107240896,0.17110688927591045,0.006154863028526168,0.044800000000000006,1.420759687909909,50
7,1,True,0.8502782983190635,0.14972170168093646,0.10295640615784842,0.037599999999999995,0.9992593704007819,50
7,1,False,0.913716723225129,0.08628327677487102,1.5512433253958632e-05,0.04880000000000001,1.349160542613135,50
8,1,True,0.8753663193758568,0.12463368062414315,0.0931750864900305,0.017599999999999998,0.9989632876099093,50
8,1,False,0.8361338708365986,0.16386612916340138,8.726197267238352e-06,0.048799999999999996,1.425799247650529,50
9,1,True,0.8396231302759481,0.16037686972405185,0.07683019169130739,0.0128,0.9986603748507319,50
9,1,False,0.904335331678032,0.09566466832196796,0.00016789108085918494,0.024800000000000003,1.196797729402391,50
0,2,True,0.8827414258985545,0.11725857410144547,0.0683780696184476,0.005600000000000001,0.998843161081048,50
0,2,False,0.8917913854359957,0.10820861456400432,0.013034163312555911,0.0384,1.3051263038878775,50
1,2,True,0.7569311072788117,0.24306889272118826,0.11614201993791802,0.04000000000000001,0.9989881421282095,50
1,2,False,0.9894548923869145,0.01054510761308547,0.0025422587044477496,0.046400000000000004,1.529962045748618,50
2,2,True,0.8919509112301739,0.10804908876982611,0.1360338929693881,0.0352,0.9991893024578715,50
2,2,False,0.9113349004391752,0.0886650995608248,0.01912402884148762,0.044000000000000004,1.4894679364964305,50
3,2,True,0.8006723549871672,0.19932764501283284,0.12428417325265807,0.0048000000000000004,0.9985667896645618,50
3,2,False,0.8862012630300018,0.1137987369699982,3.044639246841983e-06,0.036000000000000004,1.4801722734566076,50
4,2,True,0.9168744805884478,0.08312551941155222,0.08185461827143575,0.016,0.9990718762313673,50
4,2,False,0.9152319962912664,0.08476800370873361,0.0238028107488551,0.044000000000000004,1.6514046918304413,50
5,2,True,0.8974379401616005,0.1025620598383995,0.10464167674036583,0.0408,0.9991606343277089,50
5,2,False,0.850631096553804,0.14936890344619602,0.00031227821110783866,0.0456,2.2575656392677637,50
6,2,True,0.8291603821992121,0.17083961780078794,0.1482300990193724,0.03440000000000001,0.9991876300196691,50
6,2,False,0.9400275326462462,0.05997246735375383,0.033641890173568924,0.048799999999999996,1.2375573163791123,50
7,2,True,0.8931655230169601,0.10683447698303994,0.10392060394472626,0.0176,0.9988887943749328,50
7,2,False,0.9977056615739788,0.002294338426021225,0.005972456519502607,0.0496,1.5877786662067779,50
8,2,True,0.9211961057449028,0.07880389425509715,0.1002046329855257,0.018400000000000003,0.9986162293312526,50
8,2,False,0.9912900649100801,0.008709935089919907,0.007518389964185057,0.044800000000000006,1.6495391207590355,50
9,2,True,1.0145946929258307,0.01459469292583071,0.15386826295499292,0.0064,0.9988143642254266,50
9,2,False,0.9032955504034118,0.0967044495965882,9.315954795597101e-05,0.04720000000000001,1.8512358886846711,50
0,3,True,1.187220125389704,0.1872201253897039,0.07233520847043844,0.0216,0.9985383986380925,50
0,3,False,1.083930766638207,0.08393076663820698,0.011998541261145598,0.04800000000000001,1.6303330899898139,50
1,3,True,1.2246091458982462,0.2246091458982462,0.07527254622303323,0.004,0.9979152639494978,50
1,3,False,1.0359645864170899,0.03596458641708988,2.9440400171343913e-05,0.04,1.1373074045078628,50
2,3,True,1.1180606820745917,0.11806068207459175,0.09164252418072218,0.036000000000000004,0.9988582091189149,50
2,3,False,1.1092068024838972,0.10920680248389725,0.0008108152744998197,0.04480000000000001,1.2743963354126406,50
3,3,True,1.170268431611859,0.170268431611859,0.1918973102027569,0.0264,0.998723928833277,50
3,3,False,0.9714146479097657,0.028585352090234273,0.0011883013611922414,0.037599999999999995,1.5351095365773295,50
4,3,True,1.1111986243268102,0.11119862432681016,0.08931099192309014,0.0088,0.9988019459371358,50
4,3,False,0.973963474715457,0.026036525284543033,0.0009679467064671329,0.036000000000000004,1.1064157715502718,50
