repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
2,True,100,50,1.0104621240617504,0.0104621240617504,0.16005972678579772,0.032,0.997423962115454,50
3,True,100,50,1.0818478635643125,0.0818478635643125,0.12408241425970527,0.03840000000000001,0.997390070801101,50
4,True,100,50,1.036092686711938,0.036092686711937993,0.08393382589575009,0.029600000000000005,0.9976751549790948,50
5,True,100,50,1.0130757340721994,0.013075734072199419,0.1006055655253761,0.027999999999999997,0.998066098618938,50
6,True,100,50,1.084963188135524,0.08496318813552395,0.13040891662384763,0.016800000000000002,0.996809634060097,50
7,True,100,50,1.091467567773364,0.09146756777336407,0.12741569071693565,0.007200000000000001,0.9972288016626849,50
8,True,100,50,1.0481963996150898,0.04819639961508981,0.25180198152618166,0.04880000000000001,0.9983029859678751,50
9,True,100,50,0.9361412120423516,0.06385878795764843,0.0907515848739743,0.0152,0.9971534074813383,50
0,True,100,100,1.1057280944548527,0.10572809445485265,0.1273063671703137,0.0092,0.9969414119839174,100
1,True,100,100,1.003647834836479,0.0036478348364790136,0.13823470970384835,0.028000000000000008,0.9975964793536689,100
2,True,100,100,1.0822582910223302,0.08225829102233018,0.13764191699667444,0.0392,0.9975535375516258,100
3,True,100,100,1.0142601518469576,0.014260151846957614,0.09968440993688275,0.0104,0.9965581543989463,100
4,True,100,100,0.9411271770751085,0.05887282292489149,0.13590146635563422,0.025999999999999995,0.9979123749604892,100
5,True,100,100,0.9789142654031977,0.021085734596802297,0.09582998538949426,0.0152,0.9976654105614742,100
6,True,100,100,1.0384421818696972,0.03844218186969717,0.13826306916642783,0.04080000000000001,0.9978298693891426,100
7,True,100,100,1.088920850874602,0.088920850874602,0.13813040086815015,0.04200000000000001,0.9977737448403994,100
8,True,100,100,1.0008140555310603,0.000814055531060287,0.11966322511357368,0.04160000000000001,0.997867548327892,100
9,True,100,100,1.0252982397592212,0.025298239759221186,0.10348336559926506,0.009600000000000001,0.9969493746561593,100
