repeat,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
2,150,50,1.0238148161134364,0.023814816113436388,0.1352297172796761,0.0248,0.44111491036856026,50,4
3,150,50,1.0202172458724705,0.020217245872470535,0.14940746887813958,0.030400000000000003,0.20050152430102613,50,5
4,150,50,1.0209731599372338,0.02097315993723381,0.14655589467290342,0.022399999999999996,0.5325156812743899,50,4
5,150,50,1.0223655575853468,0.02236555758534675,0.11005379224542862,0.03360000000000001,0.45629847662457906,50,4
6,150,50,1.018021508471876,0.018021508471876002,0.1330206238245683,0.031200000000000002,0.38393022258274867,50,4
7,150,50,1.0380510933190117,0.038051093319011686,0.12342596528687645,0.025600000000000005,0.36967463472720735,50,4
8,150,50,1.0364800109192505,0.03648001091925046,0.12079330312858219,0.039999999999999994,0.4059842915264744,50,4
9,150,50,1.0199267774010918,0.019926777401091833,0.11756650748359904,0.0208,0.42424085041512627,50,4
0,150,150,1.022212163418185,0.022212163418185105,0.11680443342842214,0.042400000000000014,0.7829802945581099,100,4
1,150,150,1.0234008634101555,0.02340086341015546,0.1395181140005489,0.046400000000000004,0.7726945287499682,100,4
2,150,150,1.0295304218701269,0.02953042187012689,0.15221336507141392,0.044000000000000004,0.7864863044630512,100,4
3,150,150,1.0250770521121926,0.025077052112192577,0.1486561122696765,0.029200000000000007,0.5315849876310894,100,5
4,150,150,1.0237483232316669,0.023748323231666868,0.10581239960056618,0.017200000000000003,0.5610760741471095,100,5
5,150,150,1.0217161294681931,0.021716129468193124,0.13622682075685152,0.028000000000000008,0.5076170878311177,100,5
6,150,150,1.025392060411437,0.025392060411437045,0.14225427868840296,0.049600000000000005,0.6997263212057035,100,4
7,150,150,1.0217275154251129,0.021727515425112864,0.13119233924467671,0.018799999999999997,0.5934166699495445,100,5
8,150,150,1.0243365339142467,0.024336533914246727,0.15310532334554902,0.0212,0.5110676662427848,100,5
9,150,150,1.0215009022188857,0.021500902218885676,0.13524171089011192,0.0432,0.7675780684532333,100,4
0,150,300,1.0241886177654274,0.024188617765427356,0.13958459831686132,0.044800000000000006,0.0409375,100,6
1,150,300,1.0330993714563526,0.033099371456352555,0.21572967804649865,0.036399999999999995,0.07187500000000001,100,5
2,150,300,1.0254967716677306,0.025496771667730567,0.14790767411491493,0.04920000000000001,0.07187500000000001,100,5
3,150,300,1.0141828322674704,0.014182832267470413,0.14121637353740688,0.03000000000000001,0.025468750000000002,100,7
4,150,300,1.0289815881749427,0.028981588174942674,0.15735450116547442,0.039200000000000006,0.07187500000000001,100,5
5,150,300,1.022177686626311,0.022177686626311033,0.23469918255533118,0.038400000000000004,0.07187500000000001,100,5
6,150,300,1.0462266918364531,0.046226691836453115,0.18558202508653482,0.044800000000000006,0.13375,100,4
7,150,300,1.024092817859133,0.024092817859133087,0.14038624193417026,0.04400000000000001,0.0409375,100,6
8,150,300,1.0188298197308532,0.01882981973085318,0.13294415611128688,0.044800000000000006,0.0409375,100,6
9,150,300,1.008455438708995,0.008455438708995011,0.18677279058567844,0.0388,0.07187500000000001,100,5
0,300,50,1.01859822851514,0.018598228515140036,0.10996251473389809,0.0648,0.01,50,5
1,300,50,1.0205896146942948,0.020589614694294767,0.10119636942714481,0.046400000000000004,0.01,50,5
2,300,50,1.0219922075782988,0.021992207578298784,0.13079090087692052,0.0416,0.30927182036335576,50,4
3,300,50,1.016905116381589,0.01690511638158898,0.11898930136624448,0.0384,0.2991560274083167,50,4
4,300,50,1.0208266223829223,0.020826622382922322,0.13117249837031553,0.04880000000000001,0.01,50,5
5,300,50,1.0126584753384542,0.012658475338454211,0.1244839062838073,0.0376,0.23598934196939808,50,4
6,300,50,1.021431471481807,0.021431471481806907,0.10939228524475053,0.0352,0.01,50,5
7,300,50,1.0227092823959631,0.02270928239596315,0.11704846889864423,0.061600000000000016,0.01,50,5
8,300,50,1.0188283656505632,0.018828365650563228,0.10618716833401157,0.0384,0.4114191833428049,50,4
9,300,50,1.0219702284997816,0.021970228499781586,0.12184078143629372,0.0408,0.01,50,5
0,300,150,1.0262387865212,0.02623878652119993,0.13490216024794421,0.0436,0.38585114961525935,100,5
1,300,150,1.0248148126751278,0.02481481267512775,0.12313574865030172,0.048400000000000006,0.39826736462548773,100,5
2,300,150,1.0224802566010616,0.022480256601061566,0.09160211412434717,0.0352,0.01,100,6
3,300,150,1.0188866469653453,0.018886646965345255,0.1022553747940483,0.05000000000000002,0.01,100,6
4,300,150,1.0204811419699078,0.0204811419699078,0.11989866241093701,0.0364,0.457850873587813,100,5
5,300,150,1.0257152286093583,0.025715228609358265,0.11861127883595027,0.04680000000000001,0.29462137112218245,100,5
6,300,150,1.0237527034518066,0.02375270345180658,0.11317100569809534,0.04680000000000001,0.43139956224584913,100,5
