seed,repeat,mh_sd,mh_iters,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,0,0.03,10,1.0633726953933915,0.06337269539339152,0.0030983147396184073,0.04800000000000001,0.5922925661395764,25
1,0,0.03,10,0.8925245197850183,0.10747548021498166,0.0012484584895420057,0.032,0.5761178836067707,25
2,0,0.03,10,0.805640983061024,0.19435901693897595,0.0020124993343057836,0.036,0.7752876691046584,25
0,1,0.03,10,1.0788851026666348,0.07888510266663484,0.0039022431795390777,0.032,0.6175203747049725,25
1,1,0.03,10,1.0193385378887418,0.019338537888741847,0.0022465619426301894,0.044,0.6305842046755206,25
2,1,0.03,10,0.8662205448052167,0.1337794551947833,0.001461093402760489,0.048,0.6131258965469968,25
0,2,0.03,10,0.9984780788476313,0.0015219211523687104,0.0014840380651040238,0.048,0.5988652878149826,25
1,2,0.03,10,0.8705396219156145,0.12946037808438549,0.004361505226385208,0.024,0.5830583138924488,25
2,2,0.03,10,0.8600641658368494,0.13993583416315059,0.001534769863661479,0.048,1.5281288501268593,25
0,3,0.03,10,1.0363667202431792,0.03636672024317922,0.002333109143301884,0.036000000000000004,0.5549467172365697,25
1,3,0.03,10,0.8179253118130257,0.18207468818697425,0.0005139773078247029,0.0,0.06408027039151973,25
2,3,0.03,10,0.9943753996109516,0.00562460038904844,1.1331166295920987e-16,0.0,0.01,25
0,4,0.03,10,1.1842198010593945,0.1842198010593945,0.00254610937294135,0.048,0.7329961592607741,25
1,4,0.03,10,0.9312725578654075,0.06872744213459248,0.0010650540534216674,0.039999999999999994,0.5183673285054378,25
2,4,0.03,10,0.8680375256247845,0.13196247437521547,0.0030880834561826482,0.044000000000000004,0.6717307535206714,25
0,0,0.03,20,1.132890443553155,0.13289044355315505,0.003065773835144837,0.03200000000000001,0.7201100260832408,25
1,0,0.03,20,0.9133736868336341,0.08662631316636593,0.005917503078221149,0.034,0.6232807238138245,25
2,0,0.03,20,0.7990745456981663,0.20092545430183373,0.0014696749383560472,0.04800000000000001,0.7669048282328792,25
0,1,0.03,20,1.0393384253404188,0.03933842534041876,0.0014689075080698431,0.046000000000000006,0.5892395456778832,25
1,1,0.03,20,0.9221441274446811,0.0778558725553189,0.004376643476274534,0.016,0.758901655830583,25
2,1,0.03,20,0.9331950984037385,0.06680490159626151,0.003046001146048122,0.044,0.684634575536833,25
0,2,0.03,20,1.024672552926379,0.024672552926378932,0.003755431439172804,0.03,0.5958916298775723,25
1,2,0.03,20,0.8777985353362691,0.12220146466373094,0.004789414542812513,0.041999999999999996,0.6743990915360618,25
2,2,0.03,20,0.9197374516553863,0.08026254834461366,0.005421101611546607,0.044000000000000004,0.649687591546047,25
0,3,0.03,20,1.0350073990540196,0.03500739905401962,0.0035999788728985015,0.04799999999999999,0.7496350447027184,25
1,3,0.03,20,0.8582486904968718,0.1417513095031282,0.00454333768346966,0.019999999999999997,0.4929310946783712,25
2,3,0.03,20,0.9648439558222595,0.03515604417774054,0.0009837763005333966,0.044000000000000004,0.7353452027530933,25
0,4,0.03,20,1.086293870431617,0.08629387043161696,0.014323280239878868,0.038000000000000006,0.7282224020799872,25
1,4,0.03,20,0.9282622520348512,0.07173774796514876,0.004935601285464474,0.046000000000000006,0.680597138203038,25
2,4,0.03,20,0.7826251682315372,0.21737483176846284,0.002817199267418053,0.034,0.7684500411141277,25
0,0,0.03,30,1.0772961129552483,0.0772961129552483,0.0070027051216304285,0.04533333333333333,0.5903407115972583,25
1,0,0.03,30,0.9138158946519974,0.08618410534800258,0.003344225645263116,0.041333333333333326,0.5902854798166597,25
2,0,0.03,30,0.7155115533210469,0.2844884466789531,0.0038591216091519755,0.04666666666666666,0.8565258696142322,25
0,1,0.03,30,1.0608928722928797,0.06089287229287965,0.0026896352733913192,0.03333333333333333,0.6975723183408635,25
1,1,0.03,30,0.9585780288312651,0.04142197116873492,0.002363084900196831,0.04800000000000001,0.5428245784691281,25
2,1,0.03,30,0.9911402544692693,0.008859745530730656,0.005016056387179523,0.041333333333333326,0.7561971978981865,25
0,2,0.03,30,1.151017165207984,0.15101716520798392,0.0031006771980886458,0.04533333333333333,0.5866712334465364,25
1,2,0.03,30,0.9142917569375407,0.08570824306245928,0.002941261948862845,0.03733333333333333,0.646945595430388,25
2,2,0.03,30,0.9029800121561745,0.09701998784382548,0.0047285481247805895,0.04666666666666667,0.8441046171634794,25
0,3,0.03,30,1.1942111362300345,0.1942111362300345,0.0032821244381440132,0.04933333333333333,0.6650918579777543,25
1,3,0.03,30,0.8716393138152767,0.1283606861847233,0.0025305067199991585,0.04666666666666666,0.7040712960557565,25
2,3,0.03,30,0.9034236218682815,0.09657637813171849,0.00807027063973578,0.04933333333333333,0.890876015785941,25
0,4,0.03,30,0.9448084852329763,0.055191514767023664,0.0033130273037942325,0.03866666666666667,0.6710381105957025,25
1,4,0.03,30,0.9397828826596498,0.06021711734035018,0.0032340412650004534,0.04933333333333333,0.6312613907648407,25
2,4,0.03,30,0.9656109606650817,0.034389039334918325,0.0031843368020827976,0.039999999999999994,0.7258550833414591,25
0,0,0.05,10,1.207756808348386,0.20775680834838606,0.0033449099502071674,0.04800000000000001,0.9989078824091451,25
1,0,0.05,10,0.8797307038240786,0.12026929617592141,0.0070519215797859545,0.048,0.7102545128723126,25
2,0,0.05,10,0.8546681012816698,0.1453318987183302,0.0,0.0,0.01,25
0,1,0.05,10,1.103780445899309,0.10378044589930902,0.00262359802921286,0.036,0.7149191475229492,25
1,1,0.05,10,0.8863054672081151,0.1136945327918849,0.005670767844579669,0.044000000000000004,0.5698411079313086,25
2,1,0.05,10,0.9262832144291755,0.0737167855708245,0.0027361445500007292,0.044,0.6304775285156871,25
0,2,0.05,10,1.057602963406021,0.05760296340602089,0.008127002295808034,0.048,0.7876216484287938,25
1,2,0.05,10,0.8956313001553898,0.10436869984461017,0.004723531665727902,0.048,0.577253404038478,25
2,2,0.05,10,0.8995908925095308,0.10040910749046916,0.006816263826269634,0.044000000000000004,0.6482529304015554,25
0,3,0.05,10,1.0761683457900115,0.07616834579001153,0.005114308766946917,0.04800000000000001,0.5132377716736198,25
1,3,0.05,10,0.9202130365693069,0.07978696343069314,0.005581913630717717,0.036,0.6314493273929918,25
2,3,0.05,10,0.8297701454057185,0.17022985459428153,0.005451403958680473,0.04,0.8534778722882366,25
0,4,0.05,10,1.042718706508216,0.042718706508215964,0.0035229483357128036,0.039999999999999994,0.5678271929953884,25
1,4,0.05,10,0.9503928523982327,0.04960714760176732,0.008842940347690724,0.04,0.7548995346843315,25
2,4,0.05,10,0.9949428123229651,0.005057187677034891,0.011105658302190341,0.036,0.8199692220156984,25
0,0,0.05,20,1.1590307098150987,0.1590307098150987,0.024108301534224635,0.044000000000000004,0.533924365213585,25
1,0,0.05,20,0.9487313461667582,0.05126865383324175,0.00960261095927166,0.034,0.6966140080191947,25
2,0,0.05,20,0.9588673741805045,0.041132625819495505,0.007946303850741868,0.04800000000000001,0.7401261477171056,25
0,1,0.05,20,1.0402263535867657,0.04022635358676574,0.007590625215334986,0.04,0.680518716746549,25
1,1,0.05,20,1.0167459368388987,0.01674593683889869,0.004313202655134308,0.04,0.718639864690306,25
2,1,0.05,20,0.9620987973053117,0.03790120269468833,0.010523776729925877,0.027999999999999997,0.7325229916019327,25
0,2,0.05,20,1.129198243604158,0.1291982436041581,0.019776311199701024,0.04000000000000001,0.5697532343216318,25
1,2,0.05,20,0.9646698647967342,0.03533013520326578,0.003826524660295621,0.046,0.5646701013591164,25
2,2,0.05,20,0.9127678579261749,0.08723214207382513,0.006379825470021632,0.04,0.8602899861831252,25
0,3,0.05,20,1.0464096759084658,0.046409675908465786,0.006522274653849054,0.024,0.6084449792109581,25
1,3,0.05,20,0.7839833131379487,0.21601668686205133,0.014196049573104995,0.04,0.5810025155419877,25
2,3,0.05,20,0.995871304163596,0.004128695836403962,0.010544498461457115,0.022,0.6936668616069213,25
0,4,0.05,20,1.0792255876988301,0.07922558769883015,0.005601907569501561,0.036000000000000004,0.5903322133346508,25
1,4,0.05,20,0.8454025528988072,0.15459744710119283,0.007760852331650339,0.04,0.6474220806127876,25
2,4,0.05,20,0.8263729169954748,0.17362708300452523,0.005821585607596276,0.046000000000000006,0.7603769176122785,25
0,0,0.05,30,1.123804307466211,0.12380430746621096,0.01106556195063667,0.044,0.5897681890646835,25
1,0,0.05,30,0.8869128456751874,0.11308715432481264,0.010428600988489252,0.03333333333333333,0.6141962164939286,25
2,0,0.05,30,0.7126962827787962,0.28730371722120385,0.01224037012927152,0.048000000000000015,0.787115552245729,25
0,1,0.05,30,1.1091782633146747,0.10917826331467473,0.005295440333545589,0.044,0.5975764382330966,25
1,1,0.05,30,0.8925582418223711,0.10744175817762891,0.014620596203031994,0.04,0.5982150247332869,25
2,1,0.05,30,0.9297583772218961,0.07024162277810386,0.018901359286324856,0.04666666666666667,0.7526156425377368,25
0,2,0.05,30,1.1608099710227058,0.16080997102270578,0.00965703459834395,0.036000000000000004,0.6132229215607286,25
1,2,0.05,30,0.7924008793874444,0.2075991206125556,0.011380951936203717,0.034666666666666665,0.6860705838723733,25
2,2,0.05,30,0.9161816838952447,0.08381831610475532,0.03684607275415751,0.04666666666666667,0.7719301744963232,25
0,3,0.05,30,1.0885042650827526,0.08850426508275255,0.014871248053077425,0.04266666666666667,0.6558880827460553,25
1,3,0.05,30,1.0147597020875376,0.01475970208753763,0.05387487685461678,0.03866666666666666,0.5517227988114575,25
2,3,0.05,30,0.8660641946015428,0.13393580539845718,0.010437093577578833,0.034666666666666665,0.7062444290861111,25
0,4,0.05,30,0.9001892855451403,0.09981071445485967,0.012366483649883565,0.044,0.6039884702527838,25
1,4,0.05,30,0.8746683832671187,0.1253316167328813,0.019453943224631568,0.039999999999999994,0.5721515085128024,25
2,4,0.05,30,0.8853955222038448,0.11460447779615524,0.011953235877458154,0.04933333333333333,1.199820048535309,25
0,0,0.1,10,0.9365519720148044,0.06344802798519555,0.003116473652600302,0.008,0.7021101088875628,25
1,0,0.1,10,0.9561212386742953,0.043878761325704674,0.059434009357266365,0.04,0.5852322915894647,25
2,0,0.1,10,0.9034540505438846,0.09654594945611539,0.043911772864708175,0.044000000000000004,0.624400255357312,25
0,1,0.1,10,1.0947282955527542,0.0947282955527542,0.047186018338291495,0.044000000000000004,0.6244922480698867,25
1,1,0.1,10,0.8561612712200938,0.14383872877990622,0.054862460376206415,0.02,0.53381902129546,25
2,1,0.1,10,0.8681622884810646,0.13183771151893542,0.027443617879265064,0.032,0.6516440122029838,25
0,2,0.1,10,1.131357281261408,0.1313572812614081,0.022362922390982195,0.02,0.6033681762717487,25
1,2,0.1,10,0.8230343194799645,0.17696568052003547,0.04313361313179253,0.02,0.534028854122971,25
2,2,0.1,10,0.8663577219465853,0.13364227805341466,0.016718230666137687,0.04800000000000001,0.6642943491405413,25
0,3,0.1,10,1.1286955134725591,0.12869551347255914,0.021472250379432515,0.04800000000000001,0.5685776405621188,25
1,3,0.1,10,0.9313231259886798,0.06867687401132017,0.04940304298375381,0.04800000000000001,0.49425739145619496,25
2,3,0.1,10,0.9714931910014105,0.028506808998589483,0.027164778022295336,0.036,0.5548209709354307,25
0,4,0.1,10,1.2434439925860576,0.24344399258605764,0.0,0.0,0.01,25
1,4,0.1,10,0.8307109674982129,0.16928903250178706,0.025654925648839432,0.032,0.6132562268360129,25
2,4,0.1,10,0.9206957485919081,0.07930425140809194,0.011340857210526658,0.04800000000000001,0.7434566360052027,25
0,0,0.1,20,1.1470130360278734,0.1470130360278734,0.017348355968640875,0.02,0.6422459487782568,25
1,0,0.1,20,0.9149793144972078,0.08502068550279218,0.05077126000005603,0.038,0.5627978730715941,25
2,0,0.1,20,0.9122392932730302,0.08776070672696978,0.016164584495491505,0.01,0.7101927190559809,25
0,1,0.1,20,1.0632033263933065,0.0632033263933065,0.033996719872495064,0.012,0.6700782228270836,25
1,1,0.1,20,0.9003727200735362,0.09962727992646381,0.019071102190923582,0.046000000000000006,0.5901176088005351,25
2,1,0.1,20,0.8476355981477384,0.15236440185226163,0.034233293760630515,0.042,0.6438316298188651,25
0,2,0.1,20,1.0779343826181191,0.07793438261811914,0.06357055324699488,0.024000000000000004,0.5401727054046487,25
1,2,0.1,20,0.9921214166592707,0.007878583340729328,0.02516389532978601,0.036000000000000004,0.5458167800380003,25
2,2,0.1,20,0.8709567700002855,0.12904322999971451,0.029144458559596884,0.028000000000000008,0.7076808200882025,25
0,3,0.1,20,1.0390938749717002,0.03909387497170025,2.2662332591841974e-16,0.0,0.01,25
1,3,0.1,20,1.0099060064874559,0.009906006487455876,0.0349452465176542,0.006,0.7599095594429275,25
2,3,0.1,20,0.9559377549727401,0.04406224502725986,0.01299723832873895,0.032,0.8050263335071907,25
0,4,0.1,20,1.0754588163040388,0.07545881630403883,0.03247950260872059,0.042,0.5950771671528821,25
1,4,0.1,20,0.9058447297192848,0.09415527028071524,0.02065354139174418,0.032,0.8307383690890429,25
2,4,0.1,20,0.9337942682032903,0.06620573179670974,0.03844715071102539,0.036000000000000004,0.667234084701561,25
0,0,0.1,30,1.1038210600668905,0.10382106006689051,0.03334643876045343,0.04533333333333333,0.8476641042885611,25
1,0,0.1,30,0.8197639779930691,0.1802360220069309,0.04927782742957027,0.04933333333333335,0.6030345245270456,25
2,0,0.1,30,0.9918990445664762,0.008100955433523849,0.029035151014788103,0.039999999999999994,0.7455880693876241,25
0,1,0.1,30,1.0586799360945995,0.05867993609459954,0.0419608915447149,0.039999999999999994,0.5821602383627502,25
1,1,0.1,30,0.9608788098667863,0.03912119013321369,0.037972312283832285,0.04,0.7181984498529723,25
2,1,0.1,30,0.9473869969528816,0.052613003047118356,0.018025845083028746,0.03333333333333333,0.7800661196135437,25
0,2,0.1,30,0.9657020323993319,0.034297967600668056,0.032801672939599756,0.041333333333333326,0.662157755799494,25
1,2,0.1,30,0.9249588063760481,0.0750411936239519,0.05467568356306549,0.046666666666666676,0.6056504504213178,25
2,2,0.1,30,0.9171435765071143,0.08285642349288569,0.029009182666300027,0.04533333333333333,0.6976557133827506,25
0,3,0.1,30,0.995592818317961,0.004407181682039019,0.0321877075902151,0.03733333333333333,0.6017495889311242,25
1,3,0.1,30,0.8855182258083001,0.11448177419169991,0.032626746176037655,0.048,0.5971455766192428,25
2,3,0.1,30,1.084279511348309,0.08427951134830902,0.03530623889890911,0.016,0.7929771337359157,25
0,4,0.1,30,1.0950098033632796,0.09500980336327958,0.034663377875551606,0.042666666666666665,0.6371284117946251,25
1,4,0.1,30,0.9125960237473194,0.08740397625268059,0.023803407562686337,0.04933333333333335,0.5052005388118944,25
2,4,0.1,30,0.8855852403569554,0.1144147596430446,0.05872590017249196,0.022666666666666665,0.7492962026451686,25
0,0,0.2,10,1.185683108332077,0.1856831083320769,0.1080932821535193,0.04800000000000001,0.5873847568007795,25
